category,n,accuracy_pct,hallucinations
simple,38,71.1,0
complex,37,27.0,0
ambiguous,35,100.0,0
incomplete,35,100.0,0
contradictory,30,100.0,0
adversarial,35,100.0,0
OVERALL,210,81.9,0
