category,n,accuracy_pct,hallucinations
simple,38,89.5,0
complex,37,51.4,0
ambiguous,35,100.0,0
incomplete,35,100.0,0
contradictory,30,100.0,0
adversarial,35,100.0,0
OVERALL,210,89.5,0
